;год;;;;;;;wikipedia
306;1908;3006;Падение Тунгусского метеорита;ru;2;30 июня;0;Тунгусский_метеорит
307;1961;107;День рождения Принцессы Дианы;ru;1;1 июля;0;Диана,_принцесса_Уэльская
308;2009;107;Скончалась российская певица Л. Зыкина;ru;2;1 июля;0;Зыкина,_Людмила_Георгиевна
309;;207;Международный день спортивного журналиста;ru;1;2 июля;0;Международный_день_спортивного_журналиста
310;;207;День  рождения модельера Пьера Кардена;ru;2;2 июля;0;Карден,_Пьер
311;;307;День Государственной Автомобильной Инспекции Гаи (День ГИБДД);ru;1;3 июля;0;День_ГАИ_(ГИБДД)
312;;307;День рождения Тома Круза;ru;2;3 июля;0;Круз,_Том
313;;407;Международный день Днепра;ru;1;4 июля;0;Международный_день_Днепра
314;1986;507;Первые игры доброй воли в Москве;ru;1;5 июля;0;Игры_доброй_воли
315;;607;Всемирный день поцелую;ru;1;6 июля;0;Всемирный_день_поцелуя
316;;707;Иван Купала;ru;1;7 июля;0;Иван_Купала
317;1770;707;День воинской славый - Чесменское сражение;ru;2;7 июля;0;Чесменское_сражение
318;1962;707;День рождения певицы Ж. Агузаровой;ru;3;7 июля;0;Агузарова,_Жанна_Хасановна
319;1929;707;День рождения нейрофизиолога Н.П. Бехтеревой;ru;4;7 июля;0;Бехтерева,_Наталья_Петровна
320;;807;День семьи, любви и верности;ru;1;8 июля;0;День_Петра_и_Февронии
321;;807;День рождения физика П.Л. Капица;ru;2;8 июля;0;Капица,_Пётр_Леонидович
322;1877;907;Первый тенисный турнир в Уимблдоне;ru;1;9 июля;0;Уимблдон
323;1956;907;День рождения актера Тома Хенкса;ru;2;9 июля;0;Хэнкс,_Том
324;1709;1007;День воинской славый - Полтавская битва;ru;1;10 июля;0;Полтавская_битва
325;1947;1007;"День рождения И. Олейникова- ""Городок""";ru;2;10 июля;0;Олейников,_Илья_Львович
326;1957;1007;"День рождения Ю. Стоянов- ""Городок""";ru;3;10 июля;0;Стоянов,_Юрий_Николаевич
327;;1107;Всемирный день шоколада;ru;1;11 июля;0;Всемирный_день_шоколада
328;;1207;День Российской Почты;ru;1;12 июля;0;День_российской_почты
329;;1207;День фотографа;ru;2;12 июля;0;Святая_Вероника
330;;1207;День рыбака;ru;3;12 июля;0;День_рыбака
331;;1307;Открытие надписи HOLLY WOOD;ru;1;13 июля;0;Знак_Голливуда
332;;1407;День рождения певицы Пелагеи;ru;1;14 июля;0;Пелагея_(певица)
333;;1507;Скончался модельер Джанни Версаче;ru;1;15 июля;0;Версаче,_Джанни
334;;1607;День рождения Григория Лепса;ru;1;16 июля;0;Лепс,_Григорий_Викторович
335;;1707;День военно-морской авиации;ru;1;17 июля;0;Авиация_Военно-Морского_Флота_Российской_Федерации
336;;1707;День этнографа;ru;2;17 июля;0;День_этнографа
337;;1807;День хозяйственной службы органов внутренних дел России;ru;1;18 июля;0;День_хозяйственной_службы_органов_внутренних_дел_Российской_Федерации
338;;1907;День металлурга;ru;1;19 июля;0;День_металлурга
339;;1907;День юридической службы Министерства внутренних дел РФ;ru;2;19 июля;0;День_юридической_службы_министерства_внутренних_дел_Российской_Федерации
340;;1907;День рождения В.В.Маяковского;ru;3;19 июля;0;Маяковский,_Владимир_Владимирович
341;;2007;Международный день шахмат;ru;1;20 июля;0;Международный_день_шахмат
342;;2007;День Перуна;ru;2;20 июля;0;Перун
343;1973;2007;Скончался  Брюс Ли;ru;3;20 июля;0;Ли,_Брюс
344;1969;2107;Человек впервые ступил на Луну (Нил Армстронг);ru;1;21 июля;0;Армстронг,_Нил
345;1951;2207;День рождения Олега Газманова;ru;1;22 июля;0;Газманов,_Олег_Михайлович
346;1966;2207;День рождения Ивана Охлобыстина;ru;2;22 июля;0;Охлобыстин,_Иван_Иванович
347;;2307;Всемирный день китов и дельфинов;ru;1;23 июля;0;Всемирный_день_китов_и_дельфинов
348;;2407;День  рождения писателя А.Дюма (отец);ru;1;24 июля;0;Дюма,_Александр_(отец)
349;;2507;Скончался Владимир Высокций;ru;1;25 июля;0;Высоцкий,_Владимир_Семёнович
350;;2507;День Работника Торговли;ru;1;25 июля;0;День_работников_торговли,_бытового_обслуживания_населения_и_жилищно-коммунального_хозяйства
351;;2507;День сотрудника органов следствия РФ;ru;2;25 июля;0;День_сотрудника_органов_следствия_Российской_Федерации
352;;2507;Всемирный день улыбки;ru;3;25 июля;0;Всемирный_день_улыбки
353;;2607;День военно-морского флота;ru;1;26 июля;0;День_Военно-Морского_Флота
354;;2607;День парашютиста;ru;2;26 июля;0;День_парашютиста
355;1928;2607;День рождения кинорежисера Стенли Кубрика;ru;3;26 июля;0;Кубрик,_Стэнли
356;;2707;День  рождения гамбургера;ru;1;27 июля;0;Гамбургер
357;;2807;День крещения Руси;ru;1;28 июля;0;День_крещения_Руси
358;;2807;День PR - Специалиста;ru;2;28 июля;0;Политтехнолог
359;;2907;Международный день тигра;ru;1;29 июля;0;Международный_день_тигра
360;;2907;День рождения Игоря Крутого;ru;2;29 июля;0;Крутой,_Игорь_Яковлевич
361;;3007;Межународный день дружбы;ru;1;30 июля;0;Международный_день_ООН
362;;3107;День системного администратора;ru;1;31 июля;0;День_системного_администратора
363;;3107;День рождения актера Луи Де Фюнеса;ru;2;31 июля;0;Фюнес,_Луи_де
364;;108;День Тыла Вооруженных Сил РФ;ru;1;1 августа;0;День_тыла_вооружённых_сил_Российской_Федерации
365;;108;День памяти жертв I Мировой Войны;ru;2;1 августа;0;День_памяти_жертв_Первой_мировой_войны
366;;108;День рождения модельера Ив Сен-Лорана;ru;3;1 августа;0;Сен-Лоран,_Ив
367;;208;День Воздушно-Десантных Войск (День Десантника);ru;1;2 августа;0;День_Воздушно-десантных_войск
368;;208;День Железнодорожника;ru;2;2 августа;0;День_железнодорожника
369;;208;Ильин день - православный праздник;ru;3;2 августа;0;Ильин_день
370;;308;Скончался актер И.М. Смоктуновский;ru;1;3 августа;0;Смоктуновский,_Иннокентий_Михайлович
371;;408;День рождения музыканта Луи Армстронга;ru;1;4 августа;0;Армстронг,_Луи
372;;508;Скончалась Мэрилин Монро;ru;1;5 августа;0;Мэрилин_Монро
373;;608;День Железнодорожных Войск;ru;1;6 августа;0;День_железнодорожных_войск
374;1960;708;День  рождения актура Девида Духовны;ru;1;7 августа;0;Духовны,_Дэвид
375;1975;708;День рождения актрисы Шарли Терон;ru;2;7 августа;0;Терон,_Шарлиз
376;1947;708;День рождения певицы Софии Ротару;ru;3;7 августа;0;Ротару,_София_Михайловна
377;;808;День физкультурника;ru;1;8 августа;0;День_физкультурника
378;;908;Международный день коренных народов мира;ru;1;9 августа;0;Международный_день_коренных_народов_мира
379;;908;Дни воинской славы России - Гангутское сражени;ru;2;9 августа;0;Дни_воинской_славы_России
380;;908;День строителя;ru;3;9 августа;0;День_строителя_(СССР)
381;;908;День рождения актрисы Одри Тату;ru;4;9 августа;0;Тоту,_Одри
382;1960;1008;День рождения актера Антонио Бандераса;ru;1;10 августа;0;Бандерас,_Антонио
383;;1108;День рождения психотерапевта А.М. Кашпировксого;ru;1;11 августа;0;Кашпировский,_Анатолий_Михайлович
384;;1208;День Военно-Воздушных Сил;ru;1;12 августа;0;День_Военно-воздушных_сил
385;;1208;Международный день молодежи;ru;2;12 августа;0;Международный_день_молодёжи
386;;1308;Международный день левши;ru;1;13 августа;0;Международный_день_левши
387;1899;1308;День рождения А.Хичкока;ru;2;13 августа;0;Хичкок,_Альфред
388;;1308;День рождения певца Стаса Пьехи;ru;3;13 августа;0;Пьеха,_Станислав_Пятрасович
389;;1408;Медовый спас;ru;1;14 августа;0;Медовый_Спас
390;;1508;День археолога;ru;1;15 августа;0;День_археолога
391;1990;1508;Скончался певец Виктор Цой;ru;2;15 августа;0;Цой,_Виктор_Робертович
392;;1608;День Воздушного Флота России;ru;1;16 августа;0;День_Воздушного_Флота_России
393;1958;1608;День рождения певицы Мадонны;ru;2;16 августа;0;Мадонна_(певица)
394;1977;1608;Скончался певец Элвис Персли;ru;3;16 августа;0;Пресли,_Элвис
395;1943;1708;День рождения актера Роберта Де Ниро;ru;1;17 августа;0;Де_Ниро,_Роберт
396;1969;1808;День рождения актера Кристиана Слейтора;ru;1;18 августа;0;Слэйтер,_Кристиан
397;1969;1808;День рождения актера Эдварда Нортона;ru;2;18 августа;0;Нортон,_Эдвард
398;;1808;День авиации;ru;3;18 августа;0;День_Авиации
399;;1908;Всемирный день гуманитарной помощи;ru;1;19 августа;0;Всемирный_день_гуманитарной_помощи
400;;1908;Яблочный спас;ru;2;19 августа;0;Яблочный_Спас
401;;1908;День рождения русской тельняшки;ru;3;19 августа;0;Тельняшка
402;;2008;Скончался певец Джо Дассен;ru;1;20 августа;0;Дассен,_Джо
403;1911;2108;"Кража картины ""Мона Лиза"" из Лувра";ru;1;21 августа;0;Мона_Лиза
404;;2208;День Государственного Флага РФ;ru;1;22 августа;0;День_Государственного_флага_Российской_Федерации
405;1920;2208;День рождения писателя Рея Брэдбери;ru;2;22 августа;0;Брэдбери,_Рэй
406;;2308;День памяти жертв сталинизма и нацизма;ru;1;23 августа;0;Европейский_день_памяти_жертв_сталинизма_и_нацизма
407;;2308;День воинской славы - Курская битва;ru;2;23 августа;0;Курская_битва
408;;2308;День памяти жертв работорговли;ru;3;23 августа;0;Международный_день_памяти_жертв_работорговли_и_её_ликвидации
409;;2408;День рождения чипсов;ru;1;24 августа;0;Чипсы
410;1930;2508;День рождения актера Шона Коннери;ru;1;25 августа;0;Коннери,_Шон
411;1970;2508;День рождения актрисы Клудии Шифер;ru;2;25 августа;0;Шиффер,_Клаудия
412;1910;2608;День рождения Мать Терезы;ru;1;26 августа;0;Мать_Тереза
413;;2608;Скончалась певица Анна Герман;ru;2;26 августа;0;Герман,_Анна_Виктория
414;;2708;День Кино России;ru;1;27 августа;0;День_российского_кино
415;;2708;День рождения актрисы Фаины Раневской;ru;2;27 августа;0;Раневская,_Фаина_Георгиевна
416;1958;2908;День  рождения Майкла Джексона;ru;1;29 августа;0;Джексон,_Майкл
417;;3008;День пропавших без вести;ru;1;30 августа;0;Пропавший_без_вести
418;;3008;День шахтера;ru;2;30 августа;0;День_шахтёра
419;1997;3108;Скончалась в автомобильной аварии принцесса Диана;ru;1;31 августа;0;Диана,_принцесса_Уэльская
420;;109;День Знаний;ru;1;1 сентября;0;День_знаний
421;;209;День Российской Гвардии;ru;1;2 сентября;0;Русская_гвардия
422;;209;День окончания Второй мировой войны;ru;2;2 сентября;0;Вторая_мировая_война
423;;209;День патрульно-постовой службы;ru;3;2 сентября;0;ГУОООП_МВД_РФ
424;;209;День рождения актера Киану Ривза;ru;4;2 сентября;0;Ривз,_Киану
425;;309;День Солидарности В Борьбе С Терроризмом, ;ru;1;3 сентября;0;День_солидарности_в_борьбе_с_терроризмом
426;;409;День специалиста по ядерному обеспечению РФ;ru;1;4 сентября;0;День_специалиста_по_ядерному_обеспечению_России
427;;509;Скончалась Мать Тереза;ru;1;5 сентября;0;Мать_Тереза
428;;609;День нефтяника;ru;1;6 сентября;0;День_работников_нефтяной,_газовой_и_топливной_промышленности
429;;709;Всемирный день уничтожения военной игрушки;ru;1;7 сентября;0;Всемирный_день_уничтожения_военной_игрушки
430;;809;Международный день грамотности;ru;1;8 сентября;0;Международный_день_грамотности
431;;809;Международный день солидарности журналистов;ru;2;8 сентября;0;Международный_день_солидарности_журналистов
432;;809;День финансиста в РФ;ru;3;8 сентября;0;День_финансиста
433;;909;День тестировщика;ru;1;9 сентября;0;День_тестировщика
434;;1009;Всемирный день предотвращения самоубийств;ru;1;10 сентября;0;Всемирный_день_предотвращения_самоубийств
435;;1109;Всероссийский день трезвости;ru;1;11 сентября;0;Трезвость
436;1862;1109;День рождения американского писателя О.Генри;ru;2;11 сентября;0;О._Генри
437;;1209;День программиста;ru;1;12 сентября;0;День_программиста
438;;1309;День танкиста;ru;1;13 сентября;0;День_танкиста
439;1923;1309;День рождения Зои Космодемьянской;ru;2;13 сентября;0;Космодемьянская,_Зоя_Анатольевна
440;1965;1409;День рождения политика Д.А. Медведева;ru;1;14 сентября;0;Медведев,_Дмитрий_Анатольевич
441;2009;1409;Скончался актер Патрик Суэйзи;ru;2;14 сентября;0;Суэйзи,_Патрик
442;;1509;Международный день демократии;ru;1;15 сентября;0;Международный_день_демократии
443;1890;1509;День рождения писательницы Агаты Кристи;ru;2;15 сентября;0;Кристи,_Агата
444;;1609;Международный день охраны озонового слоя;ru;1;16 сентября;0;Международный_день_охраны_озонового_слоя
445;1980;1609;Скончался психолог Жан Пиаже;ru;2;16 сентября;0;Пиаже,_Жан
446;1832;1709;День рождения врача С.П. Боткина;ru;1;17 сентября;0;Боткин,_Сергей_Петрович
447;;1809;Всемирный день мониторинга качества воды;ru;1;18 сентября;0;World_Water_Monitoring_Day
448;;1909;Международный пиратский день;ru;1;19 сентября;0;Международный_пиратский_день
449;;2009;День работников леса;ru;1;20 сентября;0;День_работников_леса_и_лесоперерабатывающей_промышленности
450;;2009;Трагедия в Кармадонском ущелье-скончался С. Бодров;ru;2;20 сентября;0;Бодров,_Сергей_Сергеевич
451;1380;2109;День воинской славы-Куликовская битва;ru;1;21 сентября;0;Куликовская_битва
452;;2109;Международный день мира;ru;2;21 сентября;0;Международный_день_мира
453;;2209;Всемирный день без автомобиля;ru;1;22 сентября;0;День_без_автомобиля
454;;2309;День осеннего равноденствия;ru;1;23 сентября ;0;Равноденствие
455;1943;2309;День рождения Хулио Иглесиаса;ru;2;23 сентября ;0;Иглесиас,_Хулио
456;1939;2309;Скончался психолог  Зигмунд Фрейд;ru;3;23 сентября ;0;Фрейд,_Зигмунд
457;;2309;День образования информационных подразделений РФ;ru;4;23 сентября ;0;День_образования_информационных_подразделений_МВД_России
458;;2409;Международный день каравнщика;ru;1;24 сентября;0;Международный_день_караванщика
459;;2409;Всемирный день моря;ru;2;24 сентября;0;Всемирный_день_моря
460;1944;2509;День рождения актера Майкла Дугласа;ru;1;25 сентября;0;Дуглас,_Майкл
461;1969;2509;День рождения актрисы Кетрин Зета-Джонс;ru;2;25 сентября;0;Зета-Джонс,_Кэтрин
462;1968;2509;День рождения актера Уила Смита;ru;3;25 сентября;0;Смит,_Уилл
463;;2609;Европейский день языков;ru;1;26 сентября;0;Европейский_день_языков
464;;2609;Всемирный день контрацепции;ru;2;26 сентября;0;Всемирный_день_контрацепции
465;;2709;День машиностроителя;ru;1;27 сентября;0;День_машиностроителя
466;;2709;День Воспитателя;ru;2;27 сентября;0;День_работников_дошкольного_образования
467;;2709;Всемирный день туризма;ru;3;27 сентября;0;Всемирный_день_туризма
468;;2709;Международный день глухих;ru;4;27 сентября;0;Международный_день_глухих
469;1917;2709;Скончался художник Эдгар Дега;ru;5;27 сентября;0;Дега,_Эдгар
470;1972;2709;День рождения актрисы Гвинет Пелтроу;ru;6;27 сентября;0;Пэлтроу,_Гвинет
471;;2809;День работника атомной промышленности;ru;1;28 сентября;0;День_работника_атомной_промышленности
472;1934;2809;День рождения актрисы Брижит Бардо;ru;2;28 сентября;0;Бардо,_Брижит
473;1924;2809;День рождения актера Марчело Мастрояни;ru;3;28 сентября;0;Мастроянни,_Марчелло
474;1963;2809;"День рождения ""Динамита"" - В.Е. Турчинского";ru;4;28 сентября;0;Турчинский,_Владимир_Евгеньевич
475;1902;2909;Скончался писатель Эмиль Золя;ru;1;29 сентября;0;Золя,_Эмиль
476;1930;2909;Сконался художник Илья Репин;ru;2;29 сентября;0;Репин,_Илья_Ефимович
477;;3009;Международный день переводчика;ru;1;30 сентября;0;Международный_день_переводчика
478;;3009;День Интернета России (День Рунета);ru;2;30 сентября;0;День_Интернета
479;1941;3009;Начало битвы за Моску в ВОВ;ru;3;30 сентября;0;Битва_за_Москву
480;;110;Международный День Пожилых Людей;ru;1;1 октября;0;Международный_день_пожилых_людей
481;;110;Международный день музыка;ru;2;1 октября;0;Международный_день_музыки
482;;110;Всемирный день вегетарианства;ru;3;1 октября;0;Всемирный_день_вегетарианства
483;;110;День сухопутныйх войск;ru;4;1 октября;0;День_Сухопутных_войск_(Россия)
484;;210;Международный день ненасилия;ru;1;2 октября;0;Международный_день_ненасилия
485;;210;Всемирный день улыбки;ru;2;2 октября;0;Всемирный_день_улыбки
486;1869;210;День рождения философа Махатма Ганди;ru;3;2 октября;0;Махатма_Ганди
487;;210;Скончался писатель и актер В.М. Шукшин;ru;4;2 октября;0;Шукшин,_Василий_Макарович
488;;310;День ОМОНа в России;ru;1;3 октября;0;День_ОМОН
489;1895;310;День рождения поэта Сергея Есенина;ru;2;3 октября;0;Есенин,_Сергей_Александрович
490;;410;День Военно-Космических Сил России;ru;1;4 октября;0;День_космических_войск_России
491;;410;День Войск Гражданской Обороны МЧС РФ;ru;2;4 октября;0;МЧС_России
492;;410;Всемирный день защиты животных;ru;3;4 октября;0;Всемирный_день_защиты_животных
493;;410;День рождения актрисы Алисии Сильверстоун;ru;4;4 октября;0;Сильверстоун,_Алисия
494;;510;День Учителя;ru;1;5 октября;0;День_учителя
495;;510;День Работников Уголовного Розыска;ru;2;5 октября;0;День_работников_уголовного_розыска_России
496;;510;Всемирный день жилища;ru;3;5 октября;0;Всемирный_день_Хабитат
497;;510;Всемирный день архитектуры;ru;4;5 октября;0;Всемирный_день_архитектуры
498;;510;День рождения актрисы Кейт Уинслет;ru;5;5 октября;0;Уинслет,_Кейт
499;;610;День Российского страховщика;ru;1;6 октября;0;День_российского_страховщика
500;;610;Всемирный день охраны мест обитания;ru;2;6 октября;0;Всемирный_день_охраны_мест_обитаний
501;1977;610;Первый полет истребителя МиГ-29;ru;3;6 октября;0;МиГ-29
502;1991;610;Убит певец Игорь Тальков;ru;4;6 октября;0;Тальков,_Игорь_Владимирович
503;1885;710;День рождения физика Нильса Бора;ru;1;7 октября;0;Бор,_Нильс
504;1849;710;Скончался писатль Эдгар А. По;ru;2;7 октября;0;По,_Эдгар_Аллан
505;;810;День командира корабля;ru;1;8 октября;0;День_командира_надводного,_подводного_и_воздушного_корабля
506;1871;810;День рождения спортсмена И. Поддубного;ru;2;8 октября;0;Поддубный,_Иван_Максимович
507;1892;810;День рождения поэтессы М. Цветаевой;ru;3;8 октября;0;Цветаева,_Марина_Ивановна
508;1970;810;День рождения актера Метта Деймонда;ru;4;8 октября;0;Деймон,_Мэтт
509;;910;Всемирный день почты;ru;1;9 октября;0;Всемирный_день_почты
510;;910;Всемирный день яйца;ru;2;9 октября;0;Всемирный_день_яйца
511;1967;910; Скончался Эрнесто Че Гевара;ru;3;9 октября;0;Че_Гевара,_Эрнесто
512;;1010;Всемирный день психического здоровья;ru;1;10 октября;0;Всемирный_день_психического_здоровья
513;1984;1010;"День рождения основателя ""Вконтакте"" - П.В. Дурова";ru;2;10 октября;0;Дуров,_Павел_Валерьевич
514;;1110;Международный день девочек;ru;1;11 октября;0;Международный_день_девочек
515;;1110;Всемирный день зрения;ru;2;11 октября;0;Всемирный_день_зрения
516;1994;1110;"""Черный вторник""-обвальное падение рубля(1994)";ru;3;11 октября;0;Чёрный_вторник_(1994)
517;;1210;День кадрового работника;ru;1;12 октября;0;День_кадрового_работника
518;1935;1210;День тождения тенора Л. Паваротти;ru;2;12 октября;0;Паваротти,_Лучано
519;1925;1310;"День рождения ""Железной леди""-Маргарет Тетчер";ru;1;13 октября;0;Тэтчер,_Маргарет
520;1934;1310;День рождения актера РСФСР -С. Крамарова;ru;2;13 октября;0;Крамаров,_Савелий_Викторович
521;;1410;Всемирный день стандарта;ru;1;14 октября;0;Всемирный_день_стандартов
522;2012;1410;Первый прыжок из стратосферы;ru;2;14 октября;0;Баумгартнер,_Феликс
523;1963;1410;День рождения модельера В.Юдашкина;ru;3;14 октября;0;Юдашкин,_Валентин_Абрамович
524;;1510;Международный день сельской женщины;ru;1;15 октября;0;Международный_день_сельских_женщин
525;1917;1510;День казни Маты Хари;ru;2;15 октября;0;Мата_Хари
526;1814;1510;День рождения писателя М.Ю. Лермонтова;ru;3;15 октября;0;Лермонтов,_Михаил_Юрьевич
527;1844;1510;День рождения философа Ф. Ницше;ru;4;15 октября;0;Ницше,_Фридрих
528;1976;1510;День рождения певца Н. Баскова;ru;5;15 октября;0;Басков,_Николай_Викторович
529;;1610;День босса/День шефа;ru;1;16 октября;0;День_босса
530;;1610;Всемирный день продовольствия;ru;2;16 октября;0;Всемирный_день_продовольствия
531;1962;1610;День рождения певца Д. Хворостовского(баритон);ru;3;16 октября;0;Хворостовский,_Дмитрий_Александрович
532;1968;1610;День рождения певца Ильи Лагутенко(Мумий Тролль);ru;4;16 октября;0;Лагутенко,_Илья_Игоревич
533;;1710;Международный день борьбы за ликвидацию нищеты;ru;1;17 октября;0;Международный_день_борьбы_за_ликвидацию_нищеты
534;1972;1710;День рождения певца Эминема;ru;2;17 октября;0;Эминем
535;;1810;День работника пищевой промышленности;ru;1;18 октября;0;День_работников_пищевой_промышленности
536;1960;1810;День рождения актера Жан-Клод Ван Дамма;ru;2;18 октября;0;Ван_Дамм,_Жан-Клод
537;;1910;Всероссийский день лицеистов;ru;1;19 октября;0;Дело_лицеистов
538;1987;1910;"""Черный понедельник""-биржевой крах (1987)";ru;2;19 октября;0;Чёрный_понедельник_(1987)
539;1952;1910;День рождения актрисы Вероники Кастро;ru;3;19 октября;0;Кастро,_Вероника
540;1962;1910;День рождения боксера Эвандера Хоолифилда;ru;4;19 октября;0;Холифилд,_Эвандер
541;;2010;Международный день авиадиспетчера;ru;1;20 октября;0;Международный_день_авиадиспетчера
542;;2010;День Войск Связи Вооруженных Сил РФ;ru;2;20 октября;0;День_военного_связиста
543;1945;2110;День рождения режиссера Н.С. Михалкова;ru;1;21 октября;0;Михалков,_Никита_Сергеевич
544;1833;2110;День рождения Альфреда Нобеля;ru;2;21 октября;0;Нобель,_Альфред
545;1929;2210;День рождения легендарного вратаря Льва Яшина;ru;1;22 октября;0;Яшин,_Лев_Иванович
546;1844;2210;День рождения актрисы Сары Бернар;ru;2;22 октября;0;Бернар,_Сара
547;;2310;День работников рекламы;ru;1;23 октября;0;День_работников_рекламы
548;1920;2310;День рождения писателя Джанни Родари;ru;2;23 октября;0;Родари,_Джанни
549;;2410;День ООН;ru;1;24 октября;0;День_Организации_Объединённых_Наций
550;;2410;День Соединений И Частей Специального Назначения;ru;2;24 октября;0;День_подразделений_специального_назначения
551;;2410;Всемирный день информации о развитии;ru;3;24 октября;0;Всемирный_день_информации_о_развитии
552;1960;2410;День памяти погибших ракетчиков на Байконур (1960);ru;4;24 октября;0;Катастрофа_на_Байконуре_(1960)
553;;2510;День Таможенника РФ;ru;1;25 октября;0;День_таможенника_Российской_Федерации
554;;2510;День автомобилиста;ru;2;25 октября;0;День_автомобилиста
555;;2510;День рождения художника Пабло Пикассо;ru;3;25 октября;0;Пикассо,_Пабло
556;;2610;День открытия Малого театра в Москве;ru;1;26 октября;0;Малый_театр
557;1728;2710;День рождения мореплавателя Джеймса Кука;ru;1;27 октября;0;Кук,_Джеймс
558;1782;2710;День рождения композитора Никколо Паганини;ru;2;27 октября;0;Паганини,_Никколо
559;1855;2710;День рождения биолога И.В. Мичурина;ru;3;27 октября;0;Мичурин,_Иван_Владимирович
560;;2810;Международный день анимации;ru;1;28 октября;0;Международный_день_анимации
561;1955;2810;День рождения миллиардера Билла Гейтса;ru;2;28 октября;0;Гейтс,_Билл
562;1967;2810;День рождения актрисы Джулии Робертс;ru;3;28 октября;0;Робертс,_Джулия
563;1969;2810;Скончался детский писатель К.И. Чуковский;ru;4;28 октября;0;Чуковский,_Корней_Иванович
564;;2910;День Работников Службы Вневедомственной Охраны МВД;ru;1;29 октября;0;День_вневедомственной_охраны
565;;3010;День Инженера-Механика;ru;1;30 октября;0;30_октября
566;;3010;День Памяти Жертв Политических Репрессий;ru;2;30 октября;0;День_памяти_жертв_политических_репрессий
567;1960;3010;День рождения футболиста Диего Марадоны;ru;3;30 октября;0;Марадона,_Диего_Армандо
568;;3110;"""День всех святых""- Хэллоуин";ru;1;31 октября;0;Хэллоуин
569;;3110;День работников СИЗО и тюрем;ru;2;31 октября;0;День_работников_СИЗО_и_тюрем
570;;3110;День реформации;ru;3;31 октября;0;День_Реформации
571;;3110;День сурдопереводчика;ru;4;31 октября;0;Сурдопереводчик
572;;111;Международный день вегана;ru;1;1 ноября;0;Международный_веганский_день
573;;111;День судебного пристава;ru;2;1 ноября;0;День_судебного_пристава
574;1957;211;Запуск космического корабля с собакой Лайкой;ru;1;2 ноября;0;Спутник-2
575;1982;311;День рождения фигуриста Е. Плющенко;ru;1;3 ноября;0;Плющенко,_Евгений_Викторович
576;;411;День Народного Единства;ru;1;4 ноября;0;День_народного_единства
577;1956;411;День рождения певца Игоря Талькова;ru;2;4 ноября;0;Тальков,_Игорь_Владимирович
578;;511;День Военного Разведчика;ru;1;5 ноября;0;День_военного_разведчика
579;1913;511;День рождени актрисы Вивьен Ли;ru;2;5 ноября;0;Вивьен_Ли
580;;611;День предотвращения эксплуатации окружающей среды;ru;1;6 ноября;0;Международный_день_предотвращения_эксплуатации_окружающей_среды_во_время_войны_и_вооружённых_конфликтов
581;;711;День Великой Октябрьской социалистической революции 1917 года;ru;1;7 ноября;16731919;День_Великой_Октябрьской_социалистической_революции
582;;711;День согласия и примирения;ru;2;7 ноября;0;День_согласия_и_примирения
583;1941;711;Парад на Красной площади 1941г;ru;3;7 ноября;0;Парад_на_Красной_площади_7_ноября_1941_года
584;;711;Всемирный день мужчин;ru;4;7 ноября;0;Всемирный_день_мужчин
585;;811;Международный день КВН;ru;1;8 ноября;0;Международный_день_КВН
586;;811;Международный день радиологии;ru;2;8 ноября;0;Международный_день_радиологии
587;;911;День отрядов быстрого реагирования;ru;1;9 ноября;0;День_отрядов_милиции_специального_назначения
588;1938;911;"""Хрустальная ночь""";ru;2;9 ноября;0;Хрустальная_ночь
589;1818;911;День рождения писателя И.Тургенева;ru;3;9 ноября;0;Тургенев,_Иван_Сергеевич
590;;1011;Международный день бухгалтера;ru;1;10 ноября;0;День_бухгалтера
591;;1011;День Милиции;ru;2;10 ноября;0;День_сотрудника_органов_внутренних_дел_Российской_Федерации
592;;1011;Всемирный день молодежи;ru;3;10 ноября;0;Всемирный_день_молодёжи_(ВФДМ)
593;;1011;Всемирный день  науки за мир и развитие;ru;4;10 ноября;0;Всемирный_день_науки_за_мир_и_развитие
594;1974;1111;День рождения актера Леонардо Ди Каприо;ru;1;11 ноября;0;Ди_Каприо,_Леонардо
595;1946;1111;Скончался первый российский нейрохирург Н.Н. Бурденко;ru;2;11 ноября;0;Бурденко,_Николай_Нилович
596;1962;1105;День  рождения актрисы Деми Мур;ru;3;11 ноябра;0;Мур,_Деми
597;;1211;День банковского работника России;ru;1;12 ноября;0;День_банковского_работника_России
598;;1211;Всемирный день качества;ru;2;12 ноября;0;Всемирный_день_качества
599;1929;1211;День рождения актрисы Грейс Келли- княгини Монако;ru;3;12 ноября;0;Келли,_Грейс
600;1935;1211;День рождения актрисы Людмилы Гурченко;ru;4;12 ноября;0;Гурченко,_Людмила_Марковна
601;;1311;Международный день слепых;ru;1;13 ноября;0;Международный_день_слепых
602;1955;1311;День рождения актрисы Вупи Голдберг;ru;2;13 ноября;0;Вупи_Голдберг
603;;1411;Всемирный день борьбы с диабетом;ru;1;14 ноября;0;Всемирный_день_борьбы_с_диабетом
604;;1411;День социолога;ru;2;14 ноября;0;День_социолога
605;1907;1411;День рождения писательницы Астрид Линдгрен;ru;3;14 ноября;0;Линдгрен,_Астрид
606;;1511;Всероссийский День Призывника;ru;1;15 ноября;0;Всероссийский_день_призывника
607;;1511;День памяти жертв дорожно-транспортных проишествий;ru;2;15 ноября;0;Всемирный_день_памяти_жертв_дорожно-транспортных_происшествий
